Common Fish Name,Temperament,Grows To,Starting Tank Size,Typical Color,CB's Recommended Fish Food,Fish Care Notes,Temperature Range,Water PH,Water KH,Origin,Plant Safety,Scientific Name,QR,SKU
Rasbora Pork Chop,Peaceful,"1.5""",10 Gallon,"Smaller coppery body with a narrower, sleeker black pork-chop marking",Omnivore. Sera San Color Flakes,Lambchop Rasbora; peaceful and plant-safe. Great for planted nano tanks. Keep in groups of 6 or more.,76-84°F,6.8-7.6,3-8 dKH,Southeast Asia,Safe,Trigonostigma espei,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Rasbora Pork Chop.html,RS04
Rasbora Strawberry,Peaceful,"1.5""",10 Gallon,Brilliant pinkish-red hue and signature dark body spots,Omnivore. Sera San Color Flakes,Peaceful and plant-safe.  Keep in groups of 6 or more.,76-84°F,6.8-7.6,3-8 dKH,Southeast Asia,Safe,Boraras naevus,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Rasbora Strawberry.html,493514Y
Royal Farlowella,Peaceful,"6-7""",29 Gallon,"Brown/tan, elongated twig-like body","Omnivore. Frozen Bloodworms, Frozen Brine, Sera Flakes, Hikari Vita Bites","Peaceful algae grazer; needs driftwood; sensitive to poor water quality; shy, needs cover",75-82°F,6.5-7.5,2-12 dKH,"Amazon/Orinoco basins, South America",Safe,Sturisoma aureum,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Royal Farlowella.html,7311051
Shark Bala,Peaceful,"14""",29 Gallon,Torpedo silver body; distinct black borders on yellow fins,"Omnivore. Sera San Color Flakes, VibraBites, Hikari Frozen Food","Bala shark — peaceful, large schooling fish growing to 12 inches or more. Needs a spacious tank of 75 or more gallons in a group. Plant-safe.",77-84°F,6.5-7.8,4-12 dKH,Southeast Asia,Safe,Balantiocheilos melanopterus,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Shark Bala.html,SK01
Shark Glo,Semi-aggressive,"6""",29 Gallon,"Fluorescent bright cosmic orange, purple, or green shark variant","Omnivore. Sera San Color Flakes, VibraBites, Hikari Frozen Food",GloFish shark; can be territorial like Rainbow Shark. Semi-aggressive toward own kind; keep only one. Plant-safe.,77-84°F,6.5-7.8,3-10 dKH,"Genetically modified in Singapore; base species (Rainbow Shark) is native to Southeast Asia (Thailand, Indonesia)",Safe,Epalzeorhynchos frenatum,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Shark Glo.html,SK03
Shark Rainbow,Semi-aggressive,"6""",29 Gallon,Dark charcoal-grey slender body with bright solid red fins,"Omnivore. Sera San Color Flakes, VibraBites, Hikari Frozen Food",Territorial toward own kind and similar fish; keep only one per tank. May chase other bottom dwellers. Plant-safe.,77-84°F,6.5-7.8,6-15 dKH,Australia / New Guinea,Safe,Melanotaenia sp.,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Shark Rainbow.html,SK04
Shark Rainbow Albino,Semi-aggressive,"6""",29 Gallon,Pinkish-white body with bright red fins and red eyes,"Omnivore. Sera San Color Flakes, VibraBites, Hikari Frozen Food",Albino Rainbow Shark; same territorial temperament. Keep only one per tank. May chase other bottom dwellers. Plant-safe.,77-84°F,6.5-7.8,6-15 dKH,Australia / New Guinea,Safe,Melanotaenia sp.,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Shark Rainbow Albino.html,SK05
Shark Red Tail,Semi-aggressive,"6""",29 Gallon,Deep velvet jet-black body with a contrasting solid crimson red tail,"Omnivore. Sera San Color Flakes, VibraBites, Hikari Frozen Food","Semi-aggressive, territorial; keep one per tank. May chase other bottom dwellers. Plant-safe.",77-84°F,6.5-7.8,4-10 dKH,Thailand,Safe,Epalzeorhynchos bicolor,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Shark Red Tail.html,SK07
Shark Roseline,Peaceful,"6""",29 Gallon,Torpedo silver body with a bright red face line and yellow tail markings,"Omnivore. Sera San Color Flakes, VibraBites, Hikari Frozen Food","Roseline Shark (Denison Barb); peaceful, active schooling fish. Plant-safe; excellent in larger planted tanks. Keep in groups of 6 or more.",77-84°F,6.5-7.8,4-12 dKH,India (Western Ghats),Safe,Sahyadria denisonii,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Shark Roseline.html,SK09
Siamese Algae Eater,Peaceful,"6""",10 Gallon,"Silver body with a clean, jagged black horizontal stripe to tail tip","Hikari Algae Wafers, Sera Pleco Chips","Excellent, peaceful algae eater. Very plant-safe — one of the best algae controllers for planted tanks.",76-82°F,7.0-7.6,4-12 dKH,Southeast Asia,Safe,Crossocheilus oblongus,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Siamese Algae Eater.html,MS19
Silver Dollar,Peaceful,"6""",30 Gallon,Silver body with a bright metallic sheen,"Herbivore. Sera San Color Flakes, Sera Vipachips, Hikari Frozen Brine, Hikari Frozen Bloodworms","Silver Dollars are large, fast-swimming schooling tetras that need a spacious tank with strong filtration and open swimming room. They're skittish alone or in small numbers — always keep in groups of 5+ to reduce stress and stress-related jumping/darting. They're near-100% herbivorous and will demolish live plants, so use plastic/silk decor or plant-safe alternatives like Anubias and Java Fern only as an occasional test (results vary).",75–82°F,6.0–7.5,4–12 dKH,South America (Amazon and Orinoco basins),Not Safe,Metynnis argenteus,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Silver Dollar.html,HT1650
Swordtail (Female),Peaceful,"4-5""",29 Gallon,"Varies widely (red, green, black, koi patterns)",Omnivore. Sera San Color Flakes,Livebearer; hardy and easy for beginners; keep more females than males,72-82°F,7.0-8.3,10-25 dKH,"Mexico, Guatemala (Central America)",Safe,Xiphophorus hellerii,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Swordtail (Female).html,LB15
Swordtail (Male),Peaceful; males may spar with each other,"4.5-5.5"" including sword",29 Gallon,"Varies widely (red, green, black, koi patterns)",Omnivore. Sera San Color Flakes,Livebearer with an elongated sword-shaped tail extension; keep more females than males,72-82°F,7.0-8.3,10-25 dKH,"Mexico, Guatemala (Central America)",Safe,Xiphophorus hellerii,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Swordtail (Male).html,LB14
Swordtail (Pair),Peaceful; males may spar with each other,"4-5.5""",29 Gallon,"Varies widely (red, green, black, koi patterns)",Omnivore. Sera San Color Flakes,Livebearer; hardy and easy for beginners; will readily breed together,72-82°F,7.0-8.3,10-25 dKH,"Mexico, Guatemala (Central America)",Safe,Xiphophorus hellerii,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Swordtail (Pair).html,LB16
Tetra Black Emperor,Peaceful,"2""",10 Gallon,Deep midnight black body with a striking neon blue top-line,Omnivore. Sera San Color Flakes,Peaceful schooling tetra. Plant-safe; excellent for planted community tanks. Keep in groups of 6 or more.,76-82°F,6.6-7.4,2-8 dKH,South America (Amazon Basin),Safe,Nematobrycon palmeri,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Tetra Black Emperor.html,TE01
Tetra Black Line,Peaceful,"1.5""",10 Gallon,"Silver-green with a sharp, clean horizontal black line to tail",Omnivore. Sera San Color Flakes,"Peaceful, schooling blackline tetra. Plant-safe. Keep in groups of 6 or more.",76-82°F,6.6-7.4,2-8 dKH,South America (Amazon Basin),Safe,Characidae sp.,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Tetra Black Line.html,TE02
Tetra Black Neon,Peaceful,"1.5""",10 Gallon,Black lower flank with a glowing white-neon line running above it,Omnivore. Sera San Color Flakes,"Peaceful, popular tetra. Plant-safe; great for planted tanks. Keep in groups of 6 or more.",76-82°F,6.6-7.4,2-8 dKH,South America (Amazon Basin),Safe,Paracheirodon innesi,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Tetra Black Neon.html,TE03
Tetra Black Phantom,Peaceful,"1.8""",10 Gallon,Smoky translucent grey body with a bold black patch behind gills,Omnivore. Sera San Color Flakes,Peaceful schooling tetra. Plant-safe. Keep in groups of 6 or more.,76-82°F,6.6-7.4,2-8 dKH,South America (Amazon Basin),Safe,Hyphessobrycon megalopterus,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Tetra Black Phantom.html,TE05
Tetra Black Skirt,Semi-aggressive,"2.5""",10 Gallon,Silver front with a deep black rear half and tall black dorsal/anal fins,Omnivore. Sera San Color Flakes,Can be nippy with long-finned fish; keep in schools of 6 or more. Plant-safe.,76-82°F,6.6-7.4,2-8 dKH,South America (Amazon Basin),Safe,Gymnocorymbus ternetzi,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Tetra Black Skirt.html,TE07
Tetra Bleeding Heart,Peaceful,"2.8""",10 Gallon,Silver-pink body with an intense ruby-red spot directly on chest,Omnivore. Sera San Color Flakes,"Peaceful, attractive tetra. Plant-safe; excellent in South American planted tanks. Keep in groups of 6 or more.",76-82°F,6.6-7.4,2-8 dKH,South America (Amazon Basin),Safe,Hyphessobrycon erythrostigma,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Tetra Bleeding Heart.html,TE09
Tetra Blood Fin,Peaceful,"2""",10 Gallon,Sleek silver mirror body highlighted by bold glass-red fins,Omnivore. Sera San Color Flakes,"Peaceful, hardy schooling tetra. Plant-safe. Keep in groups of 6 or more.",76-82°F,6.6-7.4,2-8 dKH,South America (Parana River Basin),Safe,Aphyocharax anisitsi,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Tetra Blood Fin.html,TE11
Tetra Blue Emperor,Peaceful,"2""",10 Gallon,Deep purple-blue flanks with a solid dark center racing stripe,Omnivore. Sera San Color Flakes,Peaceful emperor tetra. Plant-safe; great for planted tanks. Keep in groups of 6 or more.,76-82°F,6.6-7.4,2-8 dKH,South America (Amazon Basin),Safe,Inpaichthys kerri,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Tetra Blue Emperor.html,TE13
Tetra Cardinal,Peaceful,"1.5""",10 Gallon,Complete brilliant neon blue top stripe over a complete deep red belly,Omnivore. Sera San Color Flakes,"Beautiful, peaceful schooling tetra. Plant-safe; ideal for planted Amazonian tanks. Keep in groups of 6 or more.",76-82°F,6.6-7.4,1-4 dKH,South America (Amazon Basin),Safe,Paracheirodon axelrodi,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Tetra Cardinal.html,TE15
Tetra Columbian,Semi-aggressive,"2.5""",10 Gallon,Deep blue-silver body contrasted by bright cherry-red fin structures,Omnivore. Sera San Color Flakes,Can be nippy; keep in schools of 6 or more to moderate behavior. Larger than most tetras. Plant-safe.,76-82°F,6.6-7.4,2-8 dKH,Colombia,Safe,Hyphessobrycon columbianus,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Tetra Columbian.html,TE17
Tetra Congo,Peaceful,"3""",10 Gallon,Iridescent rainbow scales switching from yellow-gold to turquoise,Omnivore. Sera San Color Flakes,"Peaceful, large tetra from the Congo River. Plant-safe. Keep in groups of 6 or more.",76-82°F,6.6-7.4,3-8 dKH,Africa (Congo River Basin),Safe,Phenacogrammus interruptus,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Tetra Congo.html,TE53
Tetra Congo Male,Peaceful,"3.5""",10 Gallon,Oversized rainbow scales (gold/blue); long feathery trailing fins,Omnivore. Sera San Color Flakes,"Larger, peaceful Congo Tetra. Plant-safe; impressive in planted tanks. Keep in groups of 6 or more.",76-82°F,6.6-7.4,3-8 dKH,Africa (Congo River Basin),Safe,Phenacogrammus interruptus,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Tetra Congo Male.html,TE18
Tetra Ember,Peaceful,"0.8""",10 Gallon,Completely uniform bright translucent fiery amber-orange overall,Omnivore. Sera San Color Flakes,"Tiny, peaceful nano tetra. Excellent for planted nano tanks. Plant-safe. Keep in groups of 6 or more.",76-82°F,6.6-7.4,2-8 dKH,South America (Amazon Basin),Safe,Hyphessobrycon amandae,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Tetra Ember.html,TE20
Tetra Glo,Peaceful,"2.5""",10 Gallon,"Fluorescent neon green, pink, orange, or purple skirt-tetra morphs",Omnivore. Sera San Color Flakes,GloFish tetra (Black Skirt variant); may be slightly nippy — keep in schools of 6 or more. Plant-safe.,76-82°F,6.6-7.4,2-8 dKH,South America (Amazon Basin),Safe,Gymnocorymbus ternetzi,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Tetra Glo.html,TE21
Tetra Glo Pristella,Peaceful,"1.8""",10 Gallon,Fluorescent electric orange-yellow translucent body morph,Omnivore. Sera San Color Flakes,GloFish Pristella tetra; peaceful. Plant-safe. Keep in schools of 6 or more.,76-82°F,6.6-7.4,2-8 dKH,South America (Amazon Basin),Safe,Gymnocorymbus ternetzi,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Tetra Glo Pristella.html,TE22
Tetra Glow Lite,Peaceful,"1.5""",10 Gallon,Clear body with a brilliant glowing neon copper-orange horizontal line,Omnivore. Sera San Color Flakes,Peaceful glowlight tetra. Plant-safe; good for planted tanks. Keep in groups of 6 or more.,76-82°F,6.6-7.4,2-8 dKH,South America (Amazon Basin),Safe,Gymnocorymbus ternetzi,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Tetra Glow Lite.html,TE23
Tetra Green Neon,Peaceful,"1""",10 Gallon,Dominant glowing neon turquoise-green line; minimal red on belly,Omnivore. Sera San Color Flakes,Peaceful nano tetra; similar to Neon but smaller. Plant-safe; great for planted nano tanks. Keep in groups of 6 or more.,76-82°F,6.6-7.4,2-8 dKH,South America (Amazon Basin),Safe,Paracheirodon simulans,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Tetra Green Neon.html,TE30
Tetra Head & Tail,Peaceful,"2""",10 Gallon,Silver body with two gold/brass reflective eye-spots at head and tail,Omnivore. Sera San Color Flakes,Head and Tail Light tetra; peaceful schooling fish. Plant-safe. Keep in groups of 6 or more.,76-82°F,6.6-7.4,3-10 dKH,"South America — Amazon and Orinoco River basins, including Brazil, Peru, Guyana, Suriname, and French Guiana",Safe,Hemigrammus ocellifer (also recently reclassified as Holopristis ocellifera,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Tetra Head & Tail.html,TE27
Tetra Lemon,Peaceful,"2""",10 Gallon,Translucent lemon-yellow body accented by bright red upper eyes,Omnivore. Sera San Color Flakes,"Peaceful, hardy tetra. Plant-safe; good for planted tanks. Keep in groups of 6 or more.",76-82°F,6.6-7.4,2-8 dKH,South America (Amazon Basin),Safe,Hyphessobrycon pulchripinnis,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Tetra Lemon.html,TE28
Tetra Neon,Peaceful,"1.5""",10 Gallon,Brilliant neon blue top stripe that stops midway; bright red half-belly,Omnivore. Sera San Color Flakes,Classic peaceful schooling tetra. Plant-safe; iconic in planted Amazonian tanks. Keep in groups of 6 or more.,76-82°F,6.6-7.4,2-8 dKH,South America (Amazon Basin),Safe,Paracheirodon innesi,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Tetra Neon.html,TE51
Tetra Neon Green,Peaceful,"1.2""",10 Gallon,Dominant glowing neon turquoise-green line; minimal red on belly,Omnivore. Sera San Color Flakes,GloFish Neon Green tetra; peaceful. Plant-safe. Keep in schools of 6 or more.,76-82°F,6.6-7.4,2-8 dKH,South America (Amazon Basin),Safe,Paracheirodon simulans,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Tetra Neon Green.html,TE32
Tetra Penguin,Peaceful,"1.5""",10 Gallon,Silver body with a bold black lower stripe that hooks down into the lower tail fin,Omnivore. Sera San Color Flakes,Peaceful penguin tetra. Plant-safe; good community fish. Keep in groups of 6 or more.,76-82°F,6.6-7.4,2-8 dKH,South America (Amazon Basin),Safe,Thayeria boehlkei,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Tetra Penguin.html,TE33
Tetra Pristella,Peaceful,"1.8""",10 Gallon,"Translucent silver body; striking yellow, black, and white flag spots on fins",Omnivore. Sera San Color Flakes,"Hardy, peaceful tetra. Plant-safe; excellent beginner community fish. Keep in groups of 6 or more.",76-82°F,6.6-7.4,2-8 dKH,South America (Amazon Basin),Safe,Pristella maxillaris,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Tetra Pristella.html,TE35
Tetra Pristella Glo,Peaceful,"1.8""",10 Gallon,Fluorescent electric orange-yellow translucent body morph,Omnivore. Sera San Color Flakes,GloFish Pristella; same peaceful temperament. Plant-safe. Keep in schools of 6 or more.,76-82°F,6.6-7.4,2-8 dKH,South America (Amazon Basin),Safe,Gymnocorymbus ternetzi,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Tetra Pristella Glo.html,TE37
Tetra Red & Blue,Peaceful,"2""",10 Gallon,Intense neon blue top line offset by full red lower body,Omnivore. Sera San Color Flakes,Peaceful tetra. Plant-safe. Keep in groups of 6 or more.,76-82°F,6.6-7.4,2-8 dKH,South America (Amazon Basin),Safe,Characidae sp.,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Tetra Red & Blue.html,TE38
Tetra Red Eye,Semi-aggressive,"2.8""",10 Gallon,Polished bright silver scales with a brilliant neon red top eye cap,Omnivore. Sera San Color Flakes,Can be fin-nippers; keep in schools of 6 or more. Plant-safe.,76-82°F,6.6-7.4,2-8 dKH,South America (Amazon Basin),Safe,Characidae sp.,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Tetra Red Eye.html,TE40
Tetra Red Phantom,Peaceful,"1.5""",10 Gallon,Translucent rich ruby-red body with a distinct black shoulder smudge,Omnivore. Sera San Color Flakes,Peaceful red phantom tetra. Plant-safe; great for planted South American tanks. Keep in groups of 6 or more.,76-82°F,6.6-7.4,2-8 dKH,South America (Amazon Basin),Safe,Characidae sp.,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Tetra Red Phantom.html,TE42
Tetra Ruby,Peaceful,"1.5""",10 Gallon,Translucent rich ruby-red body with a distinct black shoulder smudge,Omnivore. Sera San Color Flakes,PeacefulRuby Tetra. Plant-safe; great for planted South American tanks. Keep in groups of 6 or more.,76-82°F,6.6-7.4,2-8 dKH,South America (Amazon Basin),Safe,Characidae sp.,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Tetra Ruby.html,9187663
Tetra Rummy Nose,Peaceful,"2""",10 Gallon,Bright cherry-red face with a high-contrast black and white striped tail,Omnivore. Sera San Color Flakes,"Peaceful, popular schooling tetra. Plant-safe; excellent for planted Amazonian tanks. Keep in groups of 6 or more.",76-82°F,6.6-7.4,2-8 dKH,South America (Amazon Basin),Safe,Hemigrammus rhodostomus,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Tetra Rummy Nose.html,TE44
Tetra Serpae,Semi-aggressive,"1.8""",10 Gallon,Jewel-like reddish-brown body with black shoulder spot and black-trimmed fins,Omnivore. Sera San Color Flakes,Known fin-nipper; keep in schools of 8 or more to moderate behavior. Plant-safe.,76-82°F,6.6-7.4,2-8 dKH,South America (Amazon Basin),Safe,Hyphessobrycon eques,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Tetra Serpae.html,TE46
Tetra White Fin,Peaceful,"2""",10 Gallon,Rosy-pink body; dorsal and anal fins tipped with stark milk-white accents,Omnivore. Sera San Color Flakes,Peaceful tetra. Plant-safe. Keep in groups of 6 or more.,76-82°F,6.6-7.4,2-8 dKH,South America (Amazon Basin),Safe,Characidae sp.,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Tetra White Fin.html,TE48
